identifier_id,actor_id,identifier_type,identifier_value,source_id,first_seen,last_seen,confidence,status,observation_id
IDENT_000001,ACT_0001,handle,SilentTrace,SRC_002111,2024-02-10T20:28:06Z,2024-12-16T20:28:06Z,0.45,superseded,OBS_010516
IDENT_000002,ACT_0001,handle,SilentTrace,SRC_000177,2024-02-08T20:28:06Z,2024-12-14T20:28:06Z,0.68,superseded,
IDENT_000003,ACT_0001,handle,SilentTrace,SRC_000941,2024-02-08T20:28:06Z,2024-12-17T20:28:06Z,0.77,retired,OBS_004423
IDENT_000004,ACT_0002,handle,ShadowDrift,SRC_002549,2025-01-17T10:13:48Z,2025-02-24T10:13:48Z,0.42,active,
IDENT_000005,ACT_0003,handle,GreyRoot,SRC_005120,2024-08-09T18:21:03Z,2025-10-31T18:21:03Z,0.95,retired,OBS_014146
IDENT_000006,ACT_0003,handle,IronLedger,SRC_002225,2025-11-10T18:21:03Z,2026-09-01T00:00:00Z,0.89,active,OBS_009327
IDENT_000007,ACT_0004,handle,OnyxNode,SRC_003510,2026-05-02T04:44:17Z,2026-09-01T00:00:00Z,0.9,retired,
IDENT_000008,ACT_0004,handle,OnyxNode,SRC_001170,2026-04-27T04:44:17Z,2026-09-01T00:00:00Z,0.86,superseded,OBS_010815
IDENT_000009,ACT_0004,handle,OnyxNode,SRC_001411,2026-05-02T04:44:17Z,2026-09-01T00:00:00Z,0.48,retired,OBS_011955
IDENT_000010,ACT_0005,handle,SilentVector,SRC_002622,2026-07-08T07:09:23Z,2026-09-01T00:00:00Z,0.52,superseded,OBS_005942
IDENT_000011,ACT_0005,handle,CipherHollow,SRC_000736,2026-09-12T00:00:00Z,2026-09-01T00:00:00Z,0.46,active,OBS_014283
IDENT_000012,ACT_0005,handle,CipherHollow,SRC_002597,2026-09-12T00:00:00Z,2026-09-01T00:00:00Z,0.38,active,OBS_002532
IDENT_000013,ACT_0006,handle,ShadowForge,SRC_004860,2024-02-22T08:56:39Z,2024-07-08T08:56:39Z,0.94,superseded,OBS_005719
IDENT_000014,ACT_0006,handle,ForgeVector,SRC_004037,2024-08-20T08:56:39Z,2025-08-12T08:56:39Z,0.73,active,OBS_012269
IDENT_000015,ACT_0006,handle,RogueRoot,SRC_002879,2025-09-07T08:56:39Z,2025-12-08T08:56:39Z,0.95,active,
IDENT_000016,ACT_0006,handle,RogueRoot,SRC_000139,2025-09-06T08:56:39Z,2025-12-15T08:56:39Z,0.83,active,OBS_010892
IDENT_000017,ACT_0006,handle,RogueRoot,SRC_005829,2025-09-06T08:56:39Z,2025-12-12T08:56:39Z,0.72,active,OBS_008073
IDENT_000018,ACT_0007,handle,GhostForge71,SRC_001720,2024-05-29T13:12:42Z,2024-10-25T13:12:42Z,0.87,superseded,
IDENT_000019,ACT_0007,handle,GhostForge71,SRC_001176,2024-05-28T13:12:42Z,2024-10-25T13:12:42Z,0.89,superseded,
IDENT_000020,ACT_0007,handle,IronWolf81,SRC_004542,2024-11-30T13:12:42Z,2025-02-01T13:12:42Z,0.66,active,
IDENT_000021,ACT_0008,handle,RuneLedger,SRC_000507,2024-12-27T10:13:36Z,2025-03-11T10:13:36Z,0.79,superseded,OBS_001504
IDENT_000022,ACT_0008,handle,RuneLedger,SRC_005114,2024-12-31T10:13:36Z,2025-03-12T10:13:36Z,0.89,retired,OBS_007407
IDENT_000023,ACT_0008,handle,RuneLedger,SRC_002608,2024-12-31T10:13:36Z,2025-03-13T10:13:36Z,0.8,superseded,OBS_002717
IDENT_000024,ACT_0008,handle,IronCrow,SRC_000083,2025-04-07T10:13:36Z,2025-08-24T10:13:36Z,0.63,retired,
IDENT_000025,ACT_0008,handle,SilentPulse,SRC_003287,2025-09-30T10:13:36Z,2026-08-18T10:13:36Z,0.7,retired,
