indicator_id,actor_id,indicator_type,indicator_value,source_id,observed_at,indicator_detail,match_target,confidence,status,evidence_id
INFRA_000001,ACT_0037,infrastructure_overlap,infra-host-0001.synthetic,SRC_004446,2026-08-27T00:00:00Z,Direct infrastructure overlap between infra-host-0001.synthetic and known INFRA_CLUSTER_33 nodes.,INFRA_CLUSTER_33,0.33,active,EVD_000001
INFRA_000002,,tls_certificate,cert-synth-0002,SRC_001428,2026-08-22T00:00:00Z,Certificate metadata overlaps with synthetic domain group INFRA_CLUSTER_26.,INFRA_CLUSTER_26,0.55,active,EVD_000002
INFRA_000003,ACT_0044,server_banner,banner-synth-apache-03,SRC_000190,2026-08-11T00:00:00Z,Server banner fingerprint 'banner-synth-apache-03' matches prior observations in INFRA_CLUSTER_05.,INFRA_CLUSTER_05,0.7,active,EVD_000003
INFRA_000004,ACT_0047,domain,demo-node-0004.synthetic,SRC_002995,2026-08-25T00:00:00Z,Synthetic domain demo-node-0004.synthetic resolved via simulated crawler pass; associated with cluster INFRA_CLUSTER_36.,INFRA_CLUSTER_36,0.18,active,EVD_000004
INFRA_000005,ACT_0005,hosting_fingerprint,infra-host-0005.synthetic,SRC_001458,2026-02-28T22:51:37Z,Hosting fingerprint for infra-host-0005.synthetic consistent with other INFRA_CLUSTER_38 infrastructure.,INFRA_CLUSTER_38,0.43,active,EVD_000005
INFRA_000006,,service_banner,banner-synth-apache-06,SRC_003859,2026-06-17T22:38:20Z,Service banner text for banner-synth-apache-06 closely matches banner text used elsewhere in INFRA_CLUSTER_25.,INFRA_CLUSTER_25,0.28,active,EVD_000006
INFRA_000007,ACT_0010,hosting_fingerprint,infra-host-0007.synthetic,SRC_003112,2026-01-04T22:06:12Z,Hosting fingerprint for infra-host-0007.synthetic consistent with other INFRA_CLUSTER_24 infrastructure.,INFRA_CLUSTER_24,0.51,unverified,EVD_000007
INFRA_000008,,tls_certificate,cert-synth-0008,SRC_003094,2026-08-29T00:00:00Z,Certificate metadata overlaps with synthetic domain group INFRA_CLUSTER_03.,INFRA_CLUSTER_03,0.32,stale,EVD_000008
INFRA_000009,ACT_0018,infrastructure_overlap,infra-host-0009.synthetic,SRC_004184,2026-08-06T00:00:00Z,Direct infrastructure overlap between infra-host-0009.synthetic and known INFRA_CLUSTER_36 nodes.,INFRA_CLUSTER_36,0.16,active,EVD_000009
INFRA_000010,ACT_0004,hosting_fingerprint,infra-host-0010.synthetic,SRC_003189,2025-12-10T15:47:40Z,Hosting fingerprint for infra-host-0010.synthetic consistent with other INFRA_CLUSTER_38 infrastructure.,INFRA_CLUSTER_38,0.19,stale,EVD_000010
INFRA_000011,ACT_0019,service_banner,banner-synth-nginx-11,SRC_005056,2025-03-10T15:47:40Z,Service banner text for banner-synth-nginx-11 closely matches banner text used elsewhere in INFRA_CLUSTER_19.,INFRA_CLUSTER_19,0.44,stale,EVD_000011
INFRA_000012,ACT_0058,infrastructure_overlap,infra-host-0012.synthetic,SRC_000465,2026-04-19T18:43:51Z,Direct infrastructure overlap between infra-host-0012.synthetic and known INFRA_CLUSTER_21 nodes.,INFRA_CLUSTER_21,0.37,unverified,EVD_000012
