relationship_id,source_entity_type,source_entity_id,relationship_type,target_entity_type,target_entity_id,source_id,timestamp,confidence,evidence_id,relationship_status
REL_000001,actor,ACT_0001,USES,handle,HANDLE_0001,SRC_000548,2024-02-08T20:28:06Z,0.81,EVD_100001,confirmed
REL_000002,actor,ACT_0002,USES,handle,HANDLE_0002,SRC_002821,2025-01-15T10:13:48Z,0.58,EVD_100002,confirmed
REL_000003,actor,ACT_0003,USES,handle,HANDLE_0003,SRC_003386,2024-08-04T18:21:03Z,0.77,EVD_100003,confirmed
REL_000004,actor,ACT_0003,USES,handle,HANDLE_0004,SRC_000906,2025-11-10T18:21:03Z,0.88,EVD_100004,confirmed
REL_000005,actor,ACT_0004,USES,handle,HANDLE_0005,SRC_002651,2026-04-27T04:44:17Z,0.86,EVD_100005,confirmed
REL_000006,actor,ACT_0005,USES,handle,HANDLE_0006,SRC_004542,2026-07-06T07:09:23Z,0.7,EVD_100006,confirmed
REL_000007,actor,ACT_0005,USES,handle,HANDLE_0007,SRC_004189,2026-09-12T00:00:00Z,0.7,EVD_100007,confirmed
REL_000008,actor,ACT_0006,USES,handle,HANDLE_0008,SRC_000407,2024-02-19T08:56:39Z,0.82,EVD_100008,confirmed
REL_000009,actor,ACT_0006,USES,handle,HANDLE_0009,SRC_005570,2024-08-15T08:56:39Z,0.43,EVD_100009,confirmed
REL_000010,actor,ACT_0006,USES,handle,HANDLE_0010,SRC_000368,2025-09-05T08:56:39Z,0.59,EVD_100010,confirmed
REL_000011,actor,ACT_0007,USES,handle,HANDLE_0011,SRC_002261,2024-05-25T13:12:42Z,0.83,EVD_100011,confirmed
REL_000012,actor,ACT_0007,USES,handle,HANDLE_0012,SRC_001265,2024-11-26T13:12:42Z,0.78,EVD_100012,confirmed
REL_000013,actor,ACT_0008,USES,handle,HANDLE_0013,SRC_003726,2024-12-27T10:13:36Z,0.81,EVD_100013,confirmed
REL_000014,actor,ACT_0008,USES,handle,HANDLE_0014,SRC_000372,2025-04-05T10:13:36Z,0.95,EVD_100014,confirmed
REL_000015,actor,ACT_0008,USES,handle,HANDLE_0015,SRC_005165,2025-09-26T10:13:36Z,0.66,EVD_100015,confirmed
REL_000016,actor,ACT_0008,USES,handle,HANDLE_0016,SRC_004474,2026-09-20T10:13:36Z,0.76,EVD_100016,confirmed
REL_000017,actor,ACT_0009,USES,handle,HANDLE_0017,SRC_004132,2026-07-24T04:53:06Z,0.77,EVD_100017,confirmed
REL_000018,actor,ACT_0009,USES,handle,HANDLE_0018,SRC_001796,2026-09-29T00:00:00Z,0.61,EVD_100018,confirmed
REL_000019,actor,ACT_0009,USES,handle,HANDLE_0019,SRC_004937,2026-10-15T00:00:00Z,0.91,EVD_100019,confirmed
REL_000020,actor,ACT_0009,USES,handle,HANDLE_0020,SRC_002343,2026-09-23T00:00:00Z,0.61,EVD_100020,confirmed
REL_000021,actor,ACT_0010,USES,handle,HANDLE_0021,SRC_004697,2026-05-21T20:43:57Z,0.94,EVD_100021,confirmed
REL_000022,actor,ACT_0010,USES,handle,HANDLE_0022,SRC_003041,2026-09-17T00:00:00Z,0.89,EVD_100022,confirmed
REL_000023,actor,ACT_0011,USES,handle,HANDLE_0023,SRC_003278,2026-04-26T12:53:27Z,0.75,EVD_100023,confirmed
REL_000024,actor,ACT_0011,USES,handle,HANDLE_0024,SRC_000250,2026-10-26T00:00:00Z,0.86,EVD_100024,confirmed
REL_000025,actor,ACT_0012,USES,handle,HANDLE_0025,SRC_002038,2024-12-08T10:37:19Z,0.97,EVD_100025,confirmed
REL_000026,actor,ACT_0012,USES,handle,HANDLE_0026,SRC_001131,2025-02-02T10:37:19Z,0.94,EVD_100026,confirmed
REL_000027,actor,ACT_0013,USES,handle,HANDLE_0027,SRC_000785,2026-07-04T09:25:01Z,0.63,EVD_100027,confirmed
REL_000028,actor,ACT_0013,USES,handle,HANDLE_0028,SRC_003468,2026-10-14T00:00:00Z,0.93,EVD_100028,confirmed
REL_000029,actor,ACT_0013,USES,handle,HANDLE_0029,SRC_003081,2026-09-15T00:00:00Z,0.9,EVD_100029,confirmed
REL_000030,actor,ACT_0014,USES,handle,HANDLE_0030,SRC_002676,2024-01-11T02:17:28Z,0.67,EVD_100030,confirmed
REL_000031,actor,ACT_0014,USES,handle,HANDLE_0031,SRC_002936,2024-12-22T02:17:28Z,0.68,EVD_100031,confirmed
REL_000032,actor,ACT_0015,USES,handle,HANDLE_0032,SRC_002199,2025-10-18T12:12:24Z,0.46,EVD_100032,confirmed
REL_000033,actor,ACT_0015,USES,handle,HANDLE_0033,SRC_005369,2026-10-27T00:00:00Z,0.93,EVD_100033,confirmed
REL_000034,actor,ACT_0015,USES,handle,HANDLE_0034,SRC_003266,2026-10-09T00:00:00Z,0.79,EVD_100034,confirmed
REL_000035,actor,ACT_0016,USES,handle,HANDLE_0035,SRC_005038,2025-03-07T15:47:40Z,0.74,EVD_100035,confirmed
REL_000036,actor,ACT_0016,USES,handle,HANDLE_0036,SRC_005082,2025-08-31T15:47:40Z,0.94,EVD_100036,confirmed
REL_000037,actor,ACT_0017,USES,handle,HANDLE_0037,SRC_000429,2024-11-30T11:28:43Z,0.85,EVD_100037,confirmed
REL_000038,actor,ACT_0017,USES,handle,HANDLE_0038,SRC_005418,2025-08-08T11:28:43Z,0.58,EVD_100038,confirmed
REL_000039,actor,ACT_0017,USES,handle,HANDLE_0039,SRC_003383,2026-08-28T11:28:43Z,0.62,EVD_100039,confirmed
REL_000040,actor,ACT_0018,USES,handle,HANDLE_0040,SRC_005636,2024-06-07T18:40:31Z,0.76,EVD_100040,confirmed
REL_000041,actor,ACT_0018,USES,handle,HANDLE_0041,SRC_004459,2025-10-16T18:40:31Z,0.77,EVD_100041,confirmed
REL_000042,actor,ACT_0019,USES,handle,HANDLE_0042,SRC_005031,2025-08-13T04:42:59Z,0.73,EVD_100042,confirmed
REL_000043,actor,ACT_0019,USES,handle,HANDLE_0043,SRC_001690,2026-10-13T00:00:00Z,0.68,EVD_100043,confirmed
REL_000044,actor,ACT_0020,USES,handle,HANDLE_0044,SRC_005323,2025-07-11T15:43:16Z,0.59,EVD_100044,confirmed
REL_000045,actor,ACT_0020,USES,handle,HANDLE_0045,SRC_000538,2025-11-03T15:43:16Z,0.81,EVD_100045,confirmed
REL_000046,actor,ACT_0020,USES,handle,HANDLE_0046,SRC_004614,2026-03-10T15:43:16Z,0.81,EVD_100046,confirmed
REL_000047,actor,ACT_0020,USES,handle,HANDLE_0047,SRC_002090,2026-09-18T00:00:00Z,0.56,EVD_100047,confirmed
REL_000048,actor,ACT_0020,USES,handle,HANDLE_0048,SRC_004430,2026-10-26T00:00:00Z,0.5,EVD_100048,confirmed
REL_000049,actor,ACT_0021,USES,handle,HANDLE_0049,SRC_004881,2026-07-26T20:32:16Z,0.65,EVD_100049,confirmed
REL_000050,actor,ACT_0021,USES,handle,HANDLE_0050,SRC_004365,2026-09-18T00:00:00Z,0.72,EVD_100050,confirmed
REL_000051,actor,ACT_0021,USES,handle,HANDLE_0051,SRC_002609,2026-09-29T00:00:00Z,0.69,EVD_100051,confirmed
REL_000052,actor,ACT_0021,USES,handle,HANDLE_0052,SRC_001112,2026-09-11T00:00:00Z,0.8,EVD_100052,confirmed
REL_000053,actor,ACT_0022,USES,handle,HANDLE_0053,SRC_003995,2024-03-08T11:56:59Z,0.44,EVD_100053,confirmed
REL_000054,actor,ACT_0023,USES,handle,HANDLE_0054,SRC_001821,2026-04-13T00:01:56Z,0.4,EVD_100054,confirmed
REL_000055,actor,ACT_0023,USES,handle,HANDLE_0055,SRC_002673,2026-09-08T00:00:00Z,0.86,EVD_100055,confirmed
REL_000056,actor,ACT_0023,USES,handle,HANDLE_0056,SRC_002091,2026-09-28T00:00:00Z,0.94,EVD_100056,confirmed
REL_000057,actor,ACT_0023,USES,handle,HANDLE_0057,SRC_004773,2026-10-27T00:00:00Z,0.74,EVD_100057,confirmed
REL_000058,actor,ACT_0024,USES,handle,HANDLE_0058,SRC_003582,2025-08-11T00:47:04Z,0.71,EVD_100058,confirmed
REL_000059,actor,ACT_0024,USES,handle,HANDLE_0059,SRC_005014,2026-10-13T00:47:04Z,0.79,EVD_100059,confirmed
REL_000060,actor,ACT_0024,USES,handle,HANDLE_0060,SRC_004012,2026-10-22T00:00:00Z,0.63,EVD_100060,confirmed
REL_000061,actor,ACT_0025,USES,handle,HANDLE_0061,SRC_005678,2026-05-07T13:33:59Z,0.5,EVD_100061,confirmed
REL_000062,actor,ACT_0025,USES,handle,HANDLE_0062,SRC_005753,2026-09-21T00:00:00Z,0.91,EVD_100062,confirmed
