transaction_id,from_wallet,to_wallet,timestamp,amount,currency,transaction_type,source,confidence,actor_from,actor_to,transaction_cluster,risk_signal
TX_000001,WALLET_SYN_0189,WALLET_SYN_0121,2027-03-15T18:10:40Z,0.292586,ETH_SIM,transfer,SRC_003215,0.89,ACT_0001,,CLUSTER_STRO_ACT_0001_ACT_0017,medium
TX_000002,WALLET_SYN_0189,WALLET_SYN_0121,2027-03-17T18:10:40Z,1.042353,BTC_SIM,transfer,SRC_000840,0.31,ACT_0001,,CLUSTER_STRO_ACT_0001_ACT_0017,medium
TX_000003,WALLET_SYN_0189,WALLET_SYN_0121,2027-03-14T18:10:40Z,0.255828,USDT_SIM,transfer,SRC_004479,0.91,ACT_0001,,CLUSTER_STRO_ACT_0001_ACT_0017,medium
TX_000004,WALLET_SYN_0189,WALLET_SYN_0121,2027-03-16T18:10:40Z,2.293812,ETH_SIM,transfer,SRC_001885,0.66,ACT_0001,,CLUSTER_STRO_ACT_0001_ACT_0017,medium
TX_000005,WALLET_SYN_0121,WALLET_SYN_0103,2027-03-25T18:10:40Z,1.870689,BTC_SIM,transfer,SRC_004596,0.4,,ACT_0017,CLUSTER_STRO_ACT_0001_ACT_0017,medium
TX_000006,WALLET_SYN_0121,WALLET_SYN_0103,2027-03-28T18:10:40Z,0.452254,ETH_SIM,transfer,SRC_004570,0.23,,ACT_0017,CLUSTER_STRO_ACT_0001_ACT_0017,medium
TX_000007,WALLET_SYN_0121,WALLET_SYN_0103,2027-03-15T18:10:40Z,1.644463,BTC_SIM,transfer,SRC_002736,0.77,,ACT_0017,CLUSTER_STRO_ACT_0001_ACT_0017,medium
TX_000008,WALLET_SYN_0121,WALLET_SYN_0103,2027-03-28T18:10:40Z,0.654089,ETH_SIM,transfer,SRC_004165,0.76,,ACT_0017,CLUSTER_STRO_ACT_0001_ACT_0017,medium
TX_000009,WALLET_SYN_0014,WALLET_SYN_0192,2024-12-11T04:37:32Z,1.185002,ETH_SIM,transfer,SRC_004954,0.71,ACT_0004,,CLUSTER_MEDI_ACT_0004_ACT_0022,medium
TX_000010,WALLET_SYN_0014,WALLET_SYN_0192,2024-12-13T04:37:32Z,1.49631,USDT_SIM,transfer,SRC_002143,0.8,ACT_0004,,CLUSTER_MEDI_ACT_0004_ACT_0022,medium
